,Name,Price,Category,Lighting_Conditions,Longevity,Average_Height,Uses,Imagen
386,Salvia leucantha, $5.00 ,Potted Plants,FS,TP (zones 8 to 11),4 feet,H O,http://companionplants.com/catalog/images/thumbs/Salvia%20leucantha.jpg
387,Salvia lyrata, $5.00 ,Potted Plants,PS-FS,HP (zones 5 to 9),18 inches,C M N O,http://companionplants.com/catalog/images/thumbs/July%2014%202012%20002.jpg
388,Salvia repens var repens, $5.00 ,Potted Plants,PS-FS,HP (zones 6 to 9),18 inches,A M O,http://companionplants.com/catalog/images/thumbs/Salvia%20repens%20var.%20repens.JPG
389,Santolina chamaecyparissus, $5.00 ,Potted Plants,FS,HP (zones 6 to 9),2 feet,A M O R,http://companionplants.com/catalog/images/thumbs/Santolina%20chamaecyparissus.jpg
390,Santolina virens, $5.00 ,Potted Plants,FS,HP (zones 6 to 9),2 feet,A M O R,http://companionplants.com/catalog/images/thumbs/6-25-09%20018.jpg
391,Satureja montana ssp illyrica, $5.00 ,Potted Plants,FS,HP (to zone 6),4 inches,C O,http://companionplants.com/catalog/images/thumbs/7-21-12%20001.jpg
392,Satureja montana, $5.00 ,Potted Plants,FS,HP (zones 5 to 8),15 inches,C H M O,http://companionplants.com/catalog/images/thumbs/Satureja%20montana%20-%20Winter%20Savory.jpg
393,Solanum dulcamara, $5.00 ,Potted Plants,PS-FS,HP (zones 5 to 9),15 feet,M O,http://companionplants.com/catalog/images/thumbs/Solanum%20dulcamara.jpg
394,Stevia rebuadiana, $6.00 ,Potted Plants,PS-FS,TP,3 feet,C M,http://companionplants.com/catalog/images/thumbs/Stevia.jpg
395,Symphytum grandiflorum, $5.00 ,Potted Plants,PS-FS,HP (zones 5 to 9),12 inches,O,http://companionplants.com/catalog/images/thumbs/Symphytum%20grandiflorum.jpg
396,Tagetes lucida, $5.00 ,Potted Plants,FS,A-TP (HP in zones 8 to 10),30 inches,A C D L O R,http://companionplants.com/catalog/images/thumbs/11-17-14%20010.JPG
397,Tagetes minuta, $5.00 ,Potted Plants,FS,A,8 feet,A C R,http://companionplants.com/catalog/images/thumbs/Tagetes%20minuta.jpg
398,Teucrium canadense, $5.00 ,Potted Plants,PS - FS,HP (zone 3 to 8),3 feet,B H M N O,http://companionplants.com/catalog/images/thumbs/Teucrium%20canadensis.jpg
399,Teucrium hyrcanicum, $5.00 ,Potted Plants,FS,HP (zones 5 to 9),2 feet,O,http://companionplants.com/catalog/images/thumbs/7-15-09%20002.jpg
400,Thymus herbabarona 'Citrata', $4.85 ,Potted Plants,FS,HP (zones 5 to 9),4 inches,A C O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
401,Thymus thracicus, $4.85 ,Potted Plants,FS,HP (zones 5 to 9),6 inches,A C O R,http://companionplants.com/catalog/images/thumbs/Thymus%20thracicus.JPG
402,Thymus vulgaris 'Orange Balsam', $4.85 ,Potted Plants,FS,HP (zones5 to 9),10 inches,A C O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
403,Thymus x 'Broadleaf English', $4.85 ,Potted Plants,FS,HP (zones 5 to 9),12 inches,A C M O,http://companionplants.com/catalog/images/thumbs/7-20-12%20001.jpg
404,Thymus x 'Doone Valley', $4.85 ,Potted Plants,FS,HP (zones 5 to 9),4 inches,A C O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
405,Thymus x 'Longwood', $4.85 ,Potted Plants,FS,HP ( zones 5 to 9),5 inches,A O,http://companionplants.com/catalog/images/thumbs/7-19-09%20005.jpg
406,Tulbaghia violacea, $5.00 ,Potted Plants,FS,TP (zones 7 to 10),18 inches,A C M O R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
407,Typha minima, $6.50 ,Potted Plants,FS,HP (zones 3 to 11),3 feet,C E O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
